date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
1/21/2021,ee,183,4853,0JtGYllEZyOTNLx5MGEUSk,"['Genka', 'DEW8']","['estonian hip hop', 'estonian electronic', 'estonian pop']",106558,FALSE,Ülenurme Jaanituli
2/13/2020,global,67,8367932,5JSVa5i6lFPoyOzK4gj0Ox,['5 Seconds of Summer'],"['pop', 'boy band', 'post-teen pop', 'dance pop', 'uk pop']",190893,FALSE,No Shame
12/19/2019,pl,176,139066,5H7M8QB7ksejeyQIbLMf9U,['Mata'],"['polish trap', 'polish hip hop']",207417,FALSE,Brum brum
4/11/2019,global,84,7662780,5jW3rF4URMdK7tO2xjS5EI,['Paulo Londra'],"['trap latino', 'argentine hip hop', 'trap argentino']",263899,FALSE,Tal Vez
9/5/2019,gr,198,11634,5USsRaiqL1RNKRm1fTJ3JM,['Lana Del Rey'],"['art pop', 'pop']",263441,FALSE,Bartender
7/19/2018,pl,46,158983,0Ha2AZQ1cHCxycIpmLyKeg,"['Kubi Producent', 'Żabson', 'Young Multi']","['polish trap', 'polish hip hop']",183786,FALSE,Superman
12/17/2020,de,10,2010015,0IhTszc48NK2EBCvvc1KKU,['Dardan'],"['german hip hop', 'albanian hip hop']",173500,FALSE,ka je
9/20/2018,dk,77,98922,2MLqN9tiN3JE3z0MhBqOFl,['Toko'],['danish pop'],160788,FALSE,UH UH
10/18/2018,fi,91,83880,7cTF1HaxzK7mm1TYOEIZ5j,['Tuure Kilpeläinen ja Kaihon Karavaani'],['iskelma'],207680,FALSE,Tornado - Vain Elämää Kausi 9
6/16/2022,gr,94,80520,5lRFDBrW0R1m7vSjGgje0c,"['Mente Fuerte', 'ObieDaz']","['greek hip hop', 'greek pop', 'greek trap']",162857,TRUE,Pou Pas
1/21/2021,no,121,81307,6tXmRWu5DIIhjeiQFRzj66,"['Hver gang vi møtes', 'Agnete Saba']","['norwegian indie', 'norwegian pop', 'nordnorsk musikk']",210289,FALSE,Mu lullánlávlla
1/23/2020,pa,107,16320,0tnd52GW6ySd2Sf65PQu6s,"['Akim', 'Chamaco']",['panamanian pop'],273240,TRUE,Paren Firme
